Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K)
299.22,6.5,754.89,0.0013247,220.09,228.7,0.92104,0.9372,3.437,372.94,1.3263,63.509,0.076816
299.25,6.5,754.58,0.0013252,220.18,228.79,0.92136,0.93732,3.4424,372.56,1.3296,63.463,0.076782
299.28,6.5,754.26,0.0013258,220.27,228.89,0.92168,0.93744,3.4479,372.19,1.3329,63.416,0.076748
299.3,6.5,753.95,0.0013263,220.36,228.98,0.922,0.93756,3.4535,371.81,1.3363,63.37,0.076714
299.33,6.5,753.63,0.0013269,220.46,229.08,0.92232,0.93768,3.4591,371.44,1.3396,63.323,0.07668
299.36,6.5,753.32,0.0013275,220.55,229.18,0.92264,0.9378,3.4647,371.06,1.343,63.276,0.076647
299.39,6.5,753,0.001328,220.64,229.27,0.92296,0.93792,3.4703,370.68,1.3464,63.23,0.076613
299.42,6.5,752.69,0.0013286,220.73,229.37,0.92329,0.93804,3.476,370.3,1.3498,63.183,0.076579
299.44,6.5,752.37,0.0013291,220.83,229.47,0.92361,0.93816,3.4818,369.92,1.3533,63.136,0.076545
299.47,6.5,752.05,0.0013297,220.92,229.56,0.92393,0.93828,3.4875,369.54,1.3567,63.089,0.076512
299.5,6.5,751.73,0.0013303,221.01,229.66,0.92426,0.9384,3.4933,369.16,1.3602,63.042,0.076478
299.53,6.5,751.41,0.0013308,221.11,229.76,0.92458,0.93853,3.4992,368.78,1.3636,62.995,0.076444
299.55,6.5,751.09,0.0013314,221.2,229.86,0.92491,0.93865,3.5051,368.4,1.3671,62.948,0.07641
299.58,6.5,750.77,0.001332,221.3,229.95,0.92524,0.93878,3.511,368.02,1.3707,62.9,0.076377
299.61,6.5,750.45,0.0013325,221.39,230.05,0.92556,0.9389,3.517,367.63,1.3742,62.853,0.076343
299.64,6.5,750.13,0.0013331,221.48,230.15,0.92589,0.93903,3.523,367.25,1.3777,62.806,0.076309
299.67,6.5,749.8,0.0013337,221.58,230.25,0.92622,0.93916,3.5291,366.86,1.3813,62.758,0.076275
299.69,6.5,749.48,0.0013343,221.67,230.35,0.92654,0.93928,3.5352,366.48,1.3849,62.711,0.076242
299.72,6.5,749.15,0.0013348,221.77,230.44,0.92687,0.93941,3.5414,366.09,1.3885,62.663,0.076208
299.75,6.5,748.83,0.0013354,221.86,230.54,0.9272,0.93954,3.5475,365.7,1.3921,62.615,0.076174
299.78,6.5,748.5,0.001336,221.96,230.64,0.92753,0.93967,3.5538,365.31,1.3957,62.567,0.076141
299.81,6.5,748.17,0.0013366,222.05,230.74,0.92786,0.9398,3.5601,364.92,1.3993,62.52,0.076107
299.83,6.5,747.84,0.0013372,222.15,230.84,0.92819,0.93993,3.5664,364.53,1.403,62.472,0.076073
299.86,6.5,747.51,0.0013378,222.24,230.94,0.92852,0.94007,3.5728,364.14,1.4067,62.423,0.07604
299.89,6.5,747.18,0.0013384,222.34,231.04,0.92886,0.9402,3.5792,363.75,1.4104,62.375,0.076006
299.92,6.5,746.85,0.001339,222.44,231.14,0.92919,0.94033,3.5857,363.36,1.4141,62.327,0.075972
299.94,6.5,746.52,0.0013396,222.53,231.24,0.92952,0.94047,3.5922,362.96,1.4178,62.279,0.075939
299.97,6.5,746.18,0.0013402,222.63,231.34,0.92986,0.9406,3.5988,362.57,1.4216,62.23,0.075905
300,6.5,745.85,0.0013408,222.72,231.44,0.93019,0.94074,3.6054,362.17,1.4254,62.182,0.075871
300.03,6.5,745.52,0.0013414,222.82,231.54,0.93052,0.94087,3.6121,361.78,1.4291,62.133,0.075838
300.06,6.5,745.18,0.001342,222.92,231.64,0.93086,0.94101,3.6188,361.38,1.433,62.085,0.075804
300.08,6.5,744.84,0.0013426,223.01,231.74,0.9312,0.94115,3.6256,360.98,1.4368,62.036,0.075771
300.11,6.5,744.51,0.0013432,223.11,231.84,0.93153,0.94129,3.6324,360.58,1.4406,61.987,0.075737
300.14,6.5,744.17,0.0013438,223.21,231.94,0.93187,0.94143,3.6393,360.19,1.4445,61.938,0.075703
300.17,6.5,743.83,0.0013444,223.31,232.04,0.93221,0.94157,3.6462,359.78,1.4484,61.889,0.07567
300.2,6.5,743.49,0.001345,223.4,232.15,0.93255,0.94171,3.6532,359.38,1.4523,61.84,0.075636
300.22,6.5,743.15,0.0013456,223.5,232.25,0.93288,0.94185,3.6603,358.98,1.4562,61.791,0.075603
300.25,6.5,742.8,0.0013463,223.6,232.35,0.93322,0.942,3.6674,358.58,1.4601,61.742,0.075569
300.28,6.5,742.46,0.0013469,223.7,232.45,0.93356,0.94214,3.6745,358.17,1.4641,61.692,0.075536
300.31,6.5,742.12,0.0013475,223.8,232.55,0.93391,0.94229,3.6817,357.77,1.4681,61.643,0.075502
300.33,6.5,741.77,0.0013481,223.89,232.66,0.93425,0.94243,3.689,357.36,1.4721,61.593,0.075469
300.36,6.5,741.43,0.0013488,223.99,232.76,0.93459,0.94258,3.6963,356.96,1.4761,61.544,0.075435
300.39,6.5,741.08,0.0013494,224.09,232.86,0.93493,0.94273,3.7037,356.55,1.4802,61.494,0.075402
300.42,6.5,740.73,0.00135,224.19,232.97,0.93528,0.94287,3.7112,356.14,1.4842,61.444,0.075369
300.45,6.5,740.38,0.0013507,224.29,233.07,0.93562,0.94302,3.7187,355.73,1.4883,61.394,0.075335
300.47,6.5,740.03,0.0013513,224.39,233.17,0.93596,0.94317,3.7263,355.32,1.4924,61.344,0.075302
300.5,6.5,739.68,0.0013519,224.49,233.28,0.93631,0.94332,3.7339,354.91,1.4966,61.294,0.075269
300.53,6.5,739.33,0.0013526,224.59,233.38,0.93666,0.94348,3.7416,354.5,1.5007,61.244,0.075235
300.56,6.5,738.97,0.0013532,224.69,233.48,0.937,0.94363,3.7494,354.08,1.5049,61.193,0.075202
300.58,6.5,738.62,0.0013539,224.79,233.59,0.93735,0.94378,3.7572,353.67,1.5091,61.143,0.075169
300.61,6.5,738.26,0.0013545,224.89,233.69,0.9377,0.94394,3.7651,353.25,1.5133,61.092,0.075135
300.64,6.5,737.91,0.0013552,224.99,233.8,0.93805,0.94409,3.7731,352.84,1.5176,61.042,0.075102
300.67,6.5,737.55,0.0013558,225.09,233.9,0.9384,0.94425,3.7811,352.42,1.5218,60.991,0.075069
300.7,6.5,737.19,0.0013565,225.19,234.01,0.93875,0.94441,3.7892,352,1.5261,60.94,0.075036
300.72,6.5,736.83,0.0013572,225.29,234.11,0.9391,0.94457,3.7973,351.58,1.5304,60.889,0.075003
300.75,6.5,736.47,0.0013578,225.39,234.22,0.93945,0.94472,3.8056,351.16,1.5348,60.838,0.074969
300.78,6.5,736.11,0.0013585,225.5,234.33,0.9398,0.94489,3.8139,350.74,1.5391,60.787,0.074936
300.81,6.5,735.75,0.0013592,225.6,234.43,0.94016,0.94505,3.8223,350.32,1.5435,60.736,0.074903
300.84,6.5,735.38,0.0013598,225.7,234.54,0.94051,0.94521,3.8307,349.9,1.5479,60.684,0.07487
300.86,6.5,735.02,0.0013605,225.8,234.65,0.94087,0.94537,3.8393,349.47,1.5524,60.633,0.074837
300.89,6.5,734.65,0.0013612,225.91,234.75,0.94122,0.94554,3.8479,349.04,1.5568,60.581,0.074804
300.92,6.5,734.28,0.0013619,226.01,234.86,0.94158,0.9457,3.8566,348.62,1.5613,60.529,0.074771
300.95,6.5,733.91,0.0013626,226.11,234.97,0.94193,0.94587,3.8653,348.19,1.5658,60.478,0.074738
300.97,6.5,733.54,0.0013632,226.21,235.08,0.94229,0.94604,3.8742,347.76,1.5704,60.426,0.074706
301,6.5,733.17,0.0013639,226.32,235.18,0.94265,0.94621,3.8831,347.33,1.5749,60.374,0.074673
301.03,6.5,732.8,0.0013646,226.42,235.29,0.94301,0.94638,3.8921,346.9,1.5795,60.321,0.07464
301.06,6.5,732.43,0.0013653,226.53,235.4,0.94337,0.94655,3.9012,346.47,1.5841,60.269,0.074607
301.09,6.5,732.05,0.001366,226.63,235.51,0.94373,0.94672,3.9104,346.03,1.5888,60.217,0.074574
301.11,6.5,731.68,0.0013667,226.73,235.62,0.94409,0.94689,3.9196,345.6,1.5934,60.164,0.074542
301.14,6.5,731.3,0.0013674,226.84,235.73,0.94446,0.94707,3.929,345.16,1.5981,60.111,0.074509
301.17,6.5,730.92,0.0013681,226.94,235.84,0.94482,0.94724,3.9384,344.73,1.6029,60.059,0.074476
301.2,6.5,730.54,0.0013688,227.05,235.95,0.94518,0.94742,3.9479,344.29,1.6076,60.006,0.074444
301.22,6.5,730.16,0.0013696,227.15,236.06,0.94555,0.9476,3.9575,343.85,1.6124,59.953,0.074411
301.25,6.5,729.78,0.0013703,227.26,236.17,0.94592,0.94778,3.9672,343.41,1.6172,59.899,0.074379
301.28,6.5,729.39,0.001371,227.37,236.28,0.94628,0.94796,3.977,342.97,1.622,59.846,0.074346
301.31,6.5,729.01,0.0013717,227.47,236.39,0.94665,0.94814,3.9869,342.52,1.6269,59.793,0.074314
301.34,6.5,728.62,0.0013725,227.58,236.5,0.94702,0.94832,3.9969,342.08,1.6318,59.739,0.074282
301.36,6.5,728.23,0.0013732,227.68,236.61,0.94739,0.94851,4.007,341.64,1.6367,59.685,0.074249
301.39,6.5,727.84,0.0013739,227.79,236.72,0.94776,0.94869,4.0172,341.19,1.6417,59.632,0.074217
301.42,6.5,727.45,0.0013747,227.9,236.83,0.94813,0.94888,4.0275,340.74,1.6467,59.578,0.074185
301.45,6.5,727.06,0.0013754,228.01,236.95,0.9485,0.94907,4.0379,340.29,1.6517,59.523,0.074153
301.48,6.5,726.67,0.0013761,228.11,237.06,0.94888,0.94926,4.0484,339.84,1.6567,59.469,0.074121
301.5,6.5,726.27,0.0013769,228.22,237.17,0.94925,0.94945,4.059,339.39,1.6618,59.415,0.074089
301.53,6.5,725.88,0.0013776,228.33,237.28,0.94963,0.94964,4.0697,338.94,1.6669,59.36,0.074057
301.56,6.5,725.48,0.0013784,228.44,237.4,0.95,0.94983,4.0806,338.48,1.6721,59.306,0.074025
301.59,6.5,725.08,0.0013792,228.55,237.51,0.95038,0.95003,4.0915,338.03,1.6772,59.251,0.073993
301.61,6.5,724.68,0.0013799,228.66,237.63,0.95076,0.95022,4.1025,337.57,1.6824,59.196,0.073961
301.64,6.5,724.28,0.0013807,228.77,237.74,0.95114,0.95042,4.1137,337.11,1.6877,59.141,0.07393
301.67,6.5,723.87,0.0013815,228.88,237.85,0.95152,0.95062,4.125,336.65,1.693,59.085,0.073898
301.7,6.5,723.47,0.0013822,228.99,237.97,0.9519,0.95082,4.1364,336.19,1.6983,59.03,0.073866
301.73,6.5,723.06,0.001383,229.1,238.09,0.95228,0.95102,4.1479,335.73,1.7036,58.975,0.073835
301.75,6.5,722.65,0.0013838,229.21,238.2,0.95266,0.95123,4.1596,335.26,1.709,58.919,0.073804
301.78,6.5,722.24,0.0013846,229.32,238.32,0.95305,0.95143,4.1714,334.8,1.7144,58.863,0.073772
301.81,6.5,721.83,0.0013854,229.43,238.43,0.95343,0.95164,4.1833,334.33,1.7199,58.807,0.073741
301.84,6.5,721.42,0.0013862,229.54,238.55,0.95382,0.95185,4.1953,333.86,1.7253,58.751,0.07371
301.87,6.5,721.01,0.001387,229.65,238.67,0.95421,0.95205,4.2075,333.39,1.7309,58.694,0.073679
301.89,6.5,720.59,0.0013878,229.76,238.78,0.95459,0.95227,4.2198,332.92,1.7364,58.638,0.073648
301.92,6.5,720.17,0.0013886,229.88,238.9,0.95498,0.95248,4.2322,332.45,1.742,58.581,0.073617
301.95,6.5,719.75,0.0013894,229.99,239.02,0.95538,0.95269,4.2448,331.97,1.7477,58.524,0.073586
301.98,6.5,719.33,0.0013902,230.1,239.14,0.95577,0.95291,4.2575,331.5,1.7533,58.467,0.073555
302,6.5,718.91,0.001391,230.21,239.26,0.95616,0.95313,4.2704,331.02,1.759,58.41,0.073525
302.03,6.5,718.48,0.0013918,230.33,239.38,0.95655,0.95334,4.2834,330.54,1.7648,58.353,0.073494
302.06,6.5,718.05,0.0013927,230.44,239.49,0.95695,0.95357,4.2966,330.06,1.7706,58.295,0.073464
302.09,6.5,717.63,0.0013935,230.56,239.61,0.95735,0.95379,4.3099,329.58,1.7764,58.238,0.073433
302.12,6.5,717.2,0.0013943,230.67,239.73,0.95774,0.95401,4.3234,329.1,1.7823,58.18,0.073403
302.14,6.5,716.76,0.0013952,230.79,239.86,0.95814,0.95424,4.337,328.61,1.7882,58.122,0.073373
302.17,6.5,716.33,0.001396,230.9,239.98,0.95854,0.95447,4.3509,328.12,1.7942,58.064,0.073343
302.2,6.5,715.89,0.0013969,231.02,240.1,0.95894,0.9547,4.3648,327.63,1.8002,58.005,0.073313
302.23,6.5,715.46,0.0013977,231.13,240.22,0.95935,0.95493,4.379,327.14,1.8062,57.947,0.073283
302.25,6.5,715.02,0.0013986,231.25,240.34,0.95975,0.95516,4.3933,326.65,1.8123,57.888,0.073254
302.28,6.5,714.57,0.0013994,231.37,240.46,0.96016,0.9554,4.4078,326.16,1.8184,57.829,0.073224
302.31,6.5,714.13,0.0014003,231.48,240.59,0.96056,0.95563,4.4225,325.66,1.8246,57.77,0.073195
302.34,6.5,713.69,0.0014012,231.6,240.71,0.96097,0.95587,4.4373,325.17,1.8308,57.71,0.073165
302.37,6.5,713.24,0.0014021,231.72,240.83,0.96138,0.95611,4.4524,324.67,1.8371,57.651,0.073136
302.39,6.5,712.79,0.0014029,231.84,240.96,0.96179,0.95636,4.4676,324.17,1.8434,57.591,0.073107
302.42,6.5,712.34,0.0014038,231.96,241.08,0.9622,0.9566,4.483,323.66,1.8498,57.531,0.073079
302.45,6.5,711.88,0.0014047,232.08,241.21,0.96262,0.95685,4.4986,323.16,1.8562,57.471,0.07305
302.48,6.5,711.43,0.0014056,232.2,241.33,0.96303,0.9571,4.5145,322.65,1.8627,57.41,0.073021
302.51,6.5,710.97,0.0014065,232.32,241.46,0.96345,0.95735,4.5305,322.14,1.8692,57.35,0.072993
302.53,6.5,710.51,0.0014074,232.44,241.58,0.96386,0.9576,4.5468,321.63,1.8757,57.289,0.072965
302.56,6.5,710.05,0.0014084,232.56,241.71,0.96428,0.95786,4.5632,321.12,1.8824,57.228,0.072937
302.59,6.5,709.58,0.0014093,232.68,241.84,0.9647,0.95811,4.5799,320.61,1.889,57.167,0.072909
302.62,6.5,709.11,0.0014102,232.8,241.97,0.96513,0.95837,4.5969,320.09,1.8957,57.105,0.072881
302.64,6.5,708.64,0.0014111,232.92,242.09,0.96555,0.95864,4.614,319.57,1.9025,57.043,0.072854
302.67,6.5,708.17,0.0014121,233.05,242.22,0.96597,0.9589,4.6314,319.05,1.9093,56.982,0.072827
302.7,6.5,707.7,0.001413,233.17,242.35,0.9664,0.95917,4.649,318.53,1.9162,56.919,0.0728
302.73,6.5,707.22,0.001414,233.29,242.48,0.96683,0.95944,4.6669,318.01,1.9232,56.857,0.072773
302.76,6.5,706.74,0.0014149,233.42,242.61,0.96726,0.95971,4.685,317.48,1.9302,56.794,0.072746
302.78,6.5,706.26,0.0014159,233.54,242.74,0.96769,0.95998,4.7034,316.95,1.9372,56.731,0.07272
302.81,6.5,705.78,0.0014169,233.66,242.87,0.96812,0.96026,4.7221,316.42,1.9443,56.668,0.072693
302.84,6.5,705.29,0.0014179,233.79,243.01,0.96856,0.96054,4.741,315.89,1.9515,56.605,0.072667
302.87,6.5,704.8,0.0014188,233.92,243.14,0.96899,0.96082,4.7602,315.35,1.9587,56.541,0.072642
302.89,6.5,704.31,0.0014198,234.04,243.27,0.96943,0.96111,4.7797,314.81,1.966,56.477,0.072616
302.92,6.5,703.82,0.0014208,234.17,243.4,0.96987,0.96139,4.7995,314.27,1.9734,56.413,0.072591
302.95,6.5,703.32,0.0014218,234.3,243.54,0.97032,0.96168,4.8196,313.73,1.9808,56.349,0.072566
302.98,6.5,702.82,0.0014228,234.42,243.67,0.97076,0.96198,4.84,313.19,1.9882,56.284,0.072541
303.01,6.5,702.32,0.0014239,234.55,243.81,0.9712,0.96227,4.8607,312.64,1.9958,56.219,0.072517
303.03,6.5,701.81,0.0014249,234.68,243.94,0.97165,0.96257,4.8817,312.09,2.0034,56.154,0.072492
303.06,6.5,701.3,0.0014259,234.81,244.08,0.9721,0.96287,4.903,311.54,2.0111,56.088,0.072469
303.09,6.5,700.79,0.001427,234.94,244.22,0.97255,0.96317,4.9247,310.99,2.0188,56.022,0.072445
303.12,6.5,700.28,0.001428,235.07,244.35,0.97301,0.96348,4.9468,310.43,2.0267,55.956,0.072422
303.15,6.5,699.76,0.0014291,235.2,244.49,0.97346,0.96379,4.9692,309.87,2.0345,55.89,0.072399
303.17,6.5,699.24,0.0014301,235.33,244.63,0.97392,0.9641,4.9919,309.31,2.0425,55.823,0.072376
303.2,6.5,698.72,0.0014312,235.47,244.77,0.97438,0.96442,5.0151,308.74,2.0505,55.756,0.072354
303.23,6.5,698.19,0.0014323,235.6,244.91,0.97484,0.96474,5.0386,308.18,2.0587,55.689,0.072332
303.26,6.5,697.66,0.0014334,235.73,245.05,0.9753,0.96506,5.0625,307.61,2.0668,55.621,0.07231
303.28,6.5,697.13,0.0014345,235.87,245.19,0.97577,0.96539,5.0868,307.03,2.0751,55.553,0.072289
303.31,6.5,696.59,0.0014356,236,245.33,0.97624,0.96572,5.1116,306.46,2.0835,55.485,0.072269
303.34,6.5,696.05,0.0014367,236.14,245.48,0.97671,0.96605,5.1368,305.88,2.0919,55.416,0.072248
303.37,6.5,695.51,0.0014378,236.27,245.62,0.97718,0.96639,5.1624,305.3,2.1004,55.347,0.072228
303.4,6.5,694.96,0.0014389,236.41,245.76,0.97765,0.96673,5.1884,304.71,2.109,55.278,0.072209
303.42,6.5,694.41,0.0014401,236.55,245.91,0.97813,0.96707,5.215,304.13,2.1177,55.208,0.07219
303.45,6.5,693.85,0.0014412,236.69,246.05,0.97861,0.96742,5.242,303.54,2.1264,55.138,0.072171
303.48,6.5,693.3,0.0014424,236.82,246.2,0.97909,0.96777,5.2695,302.94,2.1353,55.068,0.072153
303.51,6.5,692.74,0.0014436,236.96,246.35,0.97958,0.96813,5.2976,302.35,2.1442,54.997,0.072135
303.54,6.5,692.17,0.0014447,237.1,246.49,0.98006,0.96848,5.3261,301.75,2.1532,54.926,0.072118
303.56,6.5,691.6,0.0014459,237.24,246.64,0.98055,0.96885,5.3552,301.14,2.1624,54.854,0.072102
303.59,6.5,691.03,0.0014471,237.39,246.79,0.98105,0.96922,5.3849,300.54,2.1716,54.782,0.072086
303.62,6.5,690.45,0.0014483,237.53,246.94,0.98154,0.96959,5.4151,299.93,2.1809,54.71,0.07207
303.65,6.5,689.87,0.0014496,237.67,247.09,0.98204,0.96996,5.446,299.32,2.1903,54.637,0.072056
303.67,6.5,689.28,0.0014508,237.82,247.25,0.98254,0.97034,5.4774,298.7,2.1999,54.564,0.072041
303.7,6.5,688.69,0.001452,237.96,247.4,0.98304,0.97073,5.5095,298.08,2.2095,54.49,0.072028
303.73,6.5,688.1,0.0014533,238.11,247.55,0.98355,0.97112,5.5423,297.46,2.2192,54.416,0.072015
303.76,6.5,687.5,0.0014545,238.25,247.71,0.98406,0.97151,5.5757,296.83,2.2291,54.342,0.072003
303.79,6.5,686.9,0.0014558,238.4,247.86,0.98457,0.97191,5.6098,296.2,2.239,54.267,0.071991
303.81,6.5,686.29,0.0014571,238.55,248.02,0.98509,0.97231,5.6447,295.56,2.2491,54.191,0.071981
303.84,6.5,685.67,0.0014584,238.7,248.18,0.98561,0.97272,5.6803,294.92,2.2593,54.116,0.071971
303.87,6.5,685.06,0.0014597,238.85,248.34,0.98613,0.97314,5.7167,294.28,2.2696,54.039,0.071962
303.9,6.5,684.43,0.0014611,239,248.5,0.98665,0.97356,5.7539,293.63,2.28,53.962,0.071954
303.92,6.5,683.81,0.0014624,239.15,248.66,0.98718,0.97398,5.792,292.98,2.2906,53.885,0.071946
303.95,6.5,683.17,0.0014638,239.3,248.82,0.98771,0.97441,5.8309,292.33,2.3012,53.807,0.07194
303.98,6.5,682.53,0.0014651,239.46,248.98,0.98825,0.97485,5.8707,291.67,2.312,53.729,0.071934
304.01,6.5,681.89,0.0014665,239.61,249.14,0.98879,0.97529,5.9114,291,2.323,53.65,0.07193
304.04,6.5,681.24,0.0014679,239.77,249.31,0.98933,0.97574,5.9531,290.34,2.334,53.57,0.071926
304.06,6.5,680.58,0.0014693,239.93,249.48,0.98988,0.97619,5.9958,289.66,2.3453,53.49,0.071924
304.09,6.5,679.92,0.0014708,240.08,249.64,0.99043,0.97665,6.0396,288.98,2.3566,53.41,0.071922
304.12,6.5,679.25,0.0014722,240.24,249.81,0.99098,0.97712,6.0845,288.3,2.3681,53.328,0.071922
304.15,6.5,678.58,0.0014737,240.4,249.98,0.99154,0.97759,6.1305,287.61,2.3798,53.246,0.071923
304.18,6.5,677.9,0.0014751,240.57,250.15,0.99211,0.97807,6.1777,286.92,2.3916,53.164,0.071926
304.2,6.5,677.21,0.0014766,240.73,250.33,0.99267,0.97855,6.2261,286.22,2.4036,53.081,0.071929
304.23,6.5,676.52,0.0014782,240.89,250.5,0.99325,0.97905,6.2758,285.52,2.4157,52.997,0.071934
304.26,6.5,675.82,0.0014797,241.06,250.68,0.99382,0.97955,6.3268,284.81,2.428,52.913,0.071941
304.29,6.5,675.11,0.0014812,241.22,250.85,0.9944,0.98006,6.3793,284.1,2.4405,52.827,0.071949
304.31,6.5,674.4,0.0014828,241.39,251.03,0.99499,0.98058,6.4332,283.38,2.4531,52.742,0.071958
304.34,6.5,673.68,0.0014844,241.56,251.21,0.99558,0.9811,6.4886,282.66,2.466,52.655,0.07197
304.37,6.5,672.95,0.001486,241.73,251.39,0.99618,0.98163,6.5457,281.92,2.479,52.568,0.071983
304.4,6.5,672.21,0.0014876,241.91,251.58,0.99678,0.98217,6.6045,281.19,2.4922,52.479,0.071998
304.43,6.5,671.46,0.0014893,242.08,251.76,0.99738,0.98272,6.665,280.44,2.5056,52.39,0.072015
304.45,6.5,670.71,0.001491,242.25,251.95,0.998,0.98328,6.7273,279.69,2.5193,52.301,0.072033
304.48,6.5,669.95,0.0014927,242.43,252.13,0.99861,0.98385,6.7917,278.94,2.5331,52.21,0.072054
304.51,6.5,669.18,0.0014944,242.61,252.32,0.99924,0.98443,6.858,278.17,2.5472,52.119,0.072078
304.53,6.5,668.53,0.0014958,242.76,252.48,0.99976,0.98492,6.9145,277.54,2.559,52.042,0.072098
