angle_rad,MoIM_00,MoIM_01,MoIM_02,MoIM_10,MoIM_11,MoIM_12,MoIM_20,MoIM_21,MoIM_22
-1.0,0.00011982415604913697,0.0,5.683108917660512e-05,0.0,0.00020833333333333337,0.0,5.683108917660512e-05,0.0,0.00017184251061752977
-0.9591836734693877,0.0001245448907855874,0.0,5.876267704837249e-05,0.0,0.00020833333333333337,0.0,5.8762677048372476e-05,0.0,0.00016712177588107933
-0.9183673469387755,0.00012940741059950056,0.0,6.0302894311485225e-05,0.0,0.00020833333333333337,0.0,6.030289431148522e-05,0.0,0.00016225925606716616
-0.8775510204081632,0.00013437933018382856,0.0,6.144148282594697e-05,0.0,0.00020833333333333337,0.0,6.144148282594696e-05,0.0,0.0001572873364828382
-0.8367346938775511,0.00013942753560823942,0.0,6.217085937563663e-05,0.0,0.00020833333333333337,0.0,6.217085937563663e-05,0.0,0.00015223913105842733
-0.7959183673469388,0.00014451840486419295,0.0,6.248616617397042e-05,0.0,0.00020833333333333337,0.0,6.248616617397043e-05,0.0,0.00014714826180247374
-0.7551020408163265,0.0001496180317939142,0.0,6.238530321768483e-05,0.0,0.00020833333333333337,0.0,6.238530321768484e-05,0.0,0.00014204863487275252
-0.7142857142857143,0.00015469245191185467,0.0,6.186894227325778e-05,0.0,0.00020833333333333337,0.0,6.186894227325776e-05,0.0,0.0001369742147548121
-0.6734693877551021,0.00015970786861462793,0.0,6.094052240281597e-05,0.0,0.00020833333333333337,0.0,6.0940522402815955e-05,0.0,0.00013195879805203879
-0.6326530612244898,0.00016463087827281797,0.0,5.9606227059327095e-05,0.0,0.00020833333333333337,0.0,5.960622705932711e-05,0.0,0.00012703578839384875
-0.5918367346938775,0.00016942869270550592,0.0,5.787494290362652e-05,0.0,0.00020833333333333337,0.0,5.787494290362653e-05,0.0,0.00012223797396116077
-0.5510204081632654,0.00017406935755579295,0.0,5.575820061756547e-05,0.0,0.00020833333333333337,0.0,5.575820061756546e-05,0.0,0.00011759730911087378
-0.5102040816326531,0.0001785219651128965,0.0,5.327009810747616e-05,0.0,0.00020833333333333337,0.0,5.327009810747616e-05,0.0,0.00011314470155377021
-0.4693877551020409,0.0001827568601633843,0.0,5.042720660943366e-05,0.0,0.00020833333333333337,0.0,5.042720660943366e-05,0.0,0.00010890980650328241
-0.4285714285714286,0.00018674583750053758,0.0,4.724846032167079e-05,0.0,0.00020833333333333337,0.0,4.7248460321670795e-05,0.0,0.00010492082916612915
-0.3877551020408164,0.00019046232977639382,0.0,4.3755030299215865e-05,0.0,0.00020833333333333337,0.0,4.375503029921586e-05,0.0,0.0001012043368902729
-0.34693877551020413,0.00019388158444533866,0.0,3.997018345063832e-05,0.0,0.00020833333333333337,0.0,3.9970183450638325e-05,0.0,9.778508222132804e-05
-0.30612244897959184,0.00019698082862076884,0.0,3.591912757601121e-05,0.0,0.00020833333333333337,0.0,3.591912757601121e-05,0.0,9.46858380458979e-05
-0.26530612244897966,0.00019973942074684927,0.0,3.162884347816693e-05,0.0,0.00020833333333333337,0.0,3.162884347816693e-05,0.0,9.192724591981744e-05
-0.22448979591836737,0.00020213898807520226,0.0,2.7127905265417346e-05,0.0,0.00020833333333333337,0.0,2.7127905265417346e-05,0.0,8.952767859146446e-05
-0.1836734693877552,0.00020416354903090683,0.0,2.244629004255621e-05,0.0,0.00020833333333333337,0.0,2.244629004255621e-05,0.0,8.750311763575992e-05
-0.1428571428571429,0.0002057996196528282,0.0,1.761517825763813e-05,0.0,0.00020833333333333337,0.0,1.7615178257638132e-05,0.0,8.586704701383852e-05
-0.10204081632653073,0.00020703630339936443,0.0,1.2666746034262575e-05,0.0,0.00020833333333333337,0.0,1.2666746034262575e-05,0.0,8.463036326730229e-05
-0.061224489795918435,0.00020786536372148634,0.0,7.633950872469106e-06,0.0,0.00020833333333333337,0.0,7.633950872469106e-06,0.0,8.380130294518042e-05
-0.020408163265306145,0.000208281278919721,0.0,2.550312145517122e-06,0.0,0.00020833333333333337,0.0,2.550312145517122e-06,0.0,8.338538774694573e-05
0.020408163265306145,0.000208281278919721,0.0,-2.550312145517122e-06,0.0,0.00020833333333333337,0.0,-2.550312145517122e-06,0.0,8.338538774694573e-05
0.06122448979591821,0.00020786536372148634,0.0,-7.633950872469079e-06,0.0,0.00020833333333333337,0.0,-7.633950872469079e-06,0.0,8.380130294518041e-05
0.1020408163265305,0.00020703630339936448,0.0,-1.2666746034262548e-05,0.0,0.00020833333333333337,0.0,-1.2666746034262548e-05,0.0,8.46303632673023e-05
0.1428571428571428,0.0002057996196528282,0.0,-1.7615178257638115e-05,0.0,0.00020833333333333337,0.0,-1.761517825763812e-05,0.0,8.586704701383852e-05
0.18367346938775508,0.0002041635490309068,0.0,-2.24462900425562e-05,0.0,0.00020833333333333337,0.0,-2.2446290042556194e-05,0.0,8.75031176357599e-05
0.22448979591836715,0.00020213898807520223,0.0,-2.7127905265417315e-05,0.0,0.00020833333333333337,0.0,-2.712790526541732e-05,0.0,8.952767859146443e-05
0.26530612244897944,0.0001997394207468493,0.0,-3.162884347816691e-05,0.0,0.00020833333333333337,0.0,-3.162884347816691e-05,0.0,9.192724591981744e-05
0.30612244897959173,0.00019698082862076884,0.0,-3.59191275760112e-05,0.0,0.00020833333333333337,0.0,-3.591912757601119e-05,0.0,9.468583804589789e-05
0.346938775510204,0.00019388158444533866,0.0,-3.997018345063831e-05,0.0,0.00020833333333333337,0.0,-3.997018345063831e-05,0.0,9.778508222132803e-05
0.3877551020408163,0.00019046232977639382,0.0,-4.375503029921585e-05,0.0,0.00020833333333333337,0.0,-4.375503029921586e-05,0.0,0.00010120433689027288
0.4285714285714284,0.00018674583750053758,0.0,-4.724846032167076e-05,0.0,0.00020833333333333337,0.0,-4.724846032167076e-05,0.0,0.00010492082916612911
0.46938775510204067,0.00018275686016338435,0.0,-5.042720660943363e-05,0.0,0.00020833333333333337,0.0,-5.042720660943363e-05,0.0,0.00010890980650328238
0.510204081632653,0.0001785219651128965,0.0,-5.327009810747615e-05,0.0,0.00020833333333333337,0.0,-5.327009810747615e-05,0.0,0.00011314470155377018
0.5510204081632653,0.00017406935755579295,0.0,-5.5758200617565465e-05,0.0,0.00020833333333333337,0.0,-5.5758200617565465e-05,0.0,0.00011759730911087377
0.5918367346938773,0.00016942869270550594,0.0,-5.787494290362652e-05,0.0,0.00020833333333333337,0.0,-5.787494290362652e-05,0.0,0.00012223797396116077
0.6326530612244896,0.000164630878272818,0.0,-5.9606227059327074e-05,0.0,0.00020833333333333337,0.0,-5.9606227059327074e-05,0.0,0.00012703578839384872
0.6734693877551019,0.00015970786861462799,0.0,-6.0940522402815955e-05,0.0,0.00020833333333333337,0.0,-6.0940522402815934e-05,0.0,0.00013195879805203876
0.7142857142857142,0.00015469245191185465,0.0,-6.186894227325775e-05,0.0,0.00020833333333333337,0.0,-6.186894227325774e-05,0.0,0.00013697421475481204
0.7551020408163265,0.0001496180317939142,0.0,-6.238530321768483e-05,0.0,0.00020833333333333337,0.0,-6.238530321768484e-05,0.0,0.00014204863487275252
0.7959183673469385,0.000144518404864193,0.0,-6.248616617397044e-05,0.0,0.00020833333333333337,0.0,-6.248616617397043e-05,0.0,0.00014714826180247374
0.8367346938775508,0.00013942753560823945,0.0,-6.217085937563662e-05,0.0,0.00020833333333333337,0.0,-6.217085937563661e-05,0.0,0.00015223913105842727
0.8775510204081631,0.00013437933018382858,0.0,-6.144148282594696e-05,0.0,0.00020833333333333337,0.0,-6.144148282594697e-05,0.0,0.00015728733648283816
0.9183673469387754,0.00012940741059950058,0.0,-6.030289431148523e-05,0.0,0.00020833333333333337,0.0,-6.0302894311485225e-05,0.0,0.00016225925606716616
0.9591836734693877,0.0001245448907855874,0.0,-5.876267704837249e-05,0.0,0.00020833333333333337,0.0,-5.8762677048372476e-05,0.0,0.00016712177588107933
1.0,0.00011982415604913697,0.0,-5.683108917660512e-05,0.0,0.00020833333333333337,0.0,-5.683108917660512e-05,0.0,0.00017184251061752977
